file,sheet,analysis_group,expected_family,seal_label,heat_source_inferred,duration_h,mean_out_h,mean_dT,mean_dAH,mean_dH,delta_end_in_h,delta_half_in_h,delta_half_dAH,slope_in_h_per_h,slope_dAH_per_h,end_start_dAH,std_in_hum_run,std_AH_in_run,amp_in_hum_p95_p05,amp_AH_in_p95_p05,amp_dAH_p95_p05,rh_ah_ratio,net_rh_drift_ratio,net_ah_drift_ratio,corr_in_temp_in_hum,corr_in_temp_AH_in,corr_out_hum_in_hum,corr_out_AH_in_AH,dAH_positive_ratio,out_hum_high_ratio_90,in_hum_high_ratio_90,candidate_high_info_ratio,heat_related_ratio,exclude_low_info_ratio,q90_delta_half_in_hum,q90_delta_half_dAH_w,q90_slope_AH_in,q90_max_hourly_hum_rise,frac_pos_delta_half_dAH,top3_info_mean,frac_threshold_favored,route_transition_ratio,route_static_threshold_ratio,route_static_memory_ratio,route_background_ratio,route_heat_reject_ratio,max_corr_dAH_change,best_lag_h,gain_ratio_dAH_change,max_corr_outRH_inRH_change,best_lag_rh_h
2026-03-03 101220_seal_heated,Serial Data Log,current_heat_related,ext_high_hum_with_heat,seal,有,6.623611111111111,83.85821608040199,5.712236180904523,-1.2901097141850908,-28.653894472361785,-2.030000000000001,-1.4775879396985019,1.4338823010216555,-0.48254120987840876,0.4300663942508016,4.376416030784091,1.0657516674679703,2.633359364345908,3.3460000000000036,8.232016558569683,2.5995670357130174,0.4047118224339613,1.9047589245840988,1.6619137099319277,-0.9691408503164884,0.9946725829003336,0.642373215561021,0.9924422299490293,0.022613065326633167,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2026-03-13 080032_unseal_heated,Serial Data Log,current_heat_related,ext_high_hum_with_heat,unseal,有,33.04611111111111,88.83113074204948,6.442917718324079,-0.32147617383483157,-29.273997980817782,-0.6400000000000006,-0.8958277222273097,1.6016811893408767,-0.06037613973322955,0.10710487043396144,4.81836971653283,0.96759336826219,3.612687203316469,2.539999999999999,12.616381432369039,4.792685775228066,0.2678320357693667,0.6614348764599831,1.3337356503240958,-0.691930741602373,0.9951525125724433,0.7386404735412642,0.9947969788976637,0.5184250378596669,0.3402322059565876,0.0,0.0,0.8695652173913043,0.0,0.021421494893216677,0.9785326442211961,0.7432088090459975,0.013333333333328312,1.0,,,0.0,0.0,0.0,0.0,0.8695652173913043,0.9241618231320633,0.0,1.6880330798698056,0.4211960197561182,0.0
2026-03-14 174006_unseal_heated,Serial Data Log,current_heat_related,ext_high_hum_with_heat,unseal,有,69.33638888888889,84.18518037518037,6.70997594997595,0.6833105821886747,-23.90503848003847,1.5,0.35319384319384284,0.6071350383746259,0.012447205810589949,0.017908557675101307,0.48361667231953476,0.335376312784281,1.0440122418098883,0.980000000000004,3.6205885632297665,1.826189346719227,0.3212379121176551,4.472587785186911,0.46322892869641275,0.5608976531676507,0.9967404480977022,-0.5084466403181614,0.875370363661442,0.8785473785473785,0.00456950456950457,0.0,0.0,1.0,0.0,0.3929730001735131,0.7349106917766238,0.14512615569958112,0.17064999999999986,0.6666666666666666,,,0.0,0.0,0.0,0.0,1.0,0.454596621269043,4.0,0.8218716888035796,0.6919454156938128,2.0
2026-03-17 180258_seal_heated,Serial Data Log,current_heat_related,unknown,seal,有,15.070555555555556,88.3203752759382,8.653774834437085,1.7139860689409516,-29.112273730684343,-0.720000000000006,-0.4378807947019965,2.888613348385461,-0.06589383936899067,0.38053396692028113,6.798576609371706,0.4371286707138341,3.3940390311781163,1.197499999999998,10.66676854388868,5.352982890083977,0.1287930594487303,1.6471122766306796,2.0030932310792635,-0.8691704178748778,0.994133364797556,-0.7274189487332962,0.9929432616061116,0.8509933774834437,0.0,0.0,0.0,1.0,0.0,-0.07542042762378429,2.6089922652815734,0.8420324709948938,0.03166666666667339,1.0,,,0.0,0.0,0.0,0.0,1.0,0.9605475427768633,6.0,0.7093544401879149,-0.02719716478065143,5.0
2026-03-21 170450_unseal_heated,Serial Data Log,current_heat_related,unknown,unseal,有,46.715555555555554,93.2084327026062,0.8235094609068189,-3.788425700719182,-29.589767940021417,5.990000000000002,1.5523753033547507,-0.9736021968264597,0.0735276290254825,-0.05111799494752341,-8.24899812166018,1.1646642689468252,3.128689328741784,3.5799999999999983,8.653375709687806,2.447221885325094,0.3722530895757553,5.1431130495800295,2.6365667073047327,-0.9448315306005642,0.9928482284150987,0.9290263531258887,0.9631553293933709,0.034273473759371655,0.8725455194573367,0.0,0.8055555555555556,0.19444444444444445,0.0,0.5615416666666704,0.08974463685671719,0.017228690974619595,0.31808333333333394,0.3611111111111111,,,0.0,0.0,0.0,0.8055555555555556,0.19444444444444445,0.7811283074331817,6.0,0.546581144420326,0.5560886211521305,0.0
2026-03-02 105925,Serial Data Log,current_other,unknown,unknown,,4.467777777777778,54.98550185873606,-0.8925650557620819,0.12594465456725412,3.8827137546468435,12.050000000000004,4.534053620784974,0.1257555607426205,1.9552015302377186,0.03688019086776182,-1.7564246153394425,3.4933962986764135,0.9846143455734324,10.777999999999999,2.8520981009079316,0.43490255452940546,3.5479843599494627,3.449365308071557,1.7838706324317397,-0.9906607987921553,0.9945848659992655,0.9402505974546111,0.9700346010434172,0.6431226765799256,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2026-03-04 120007_seal_unheated,Serial Data Log,current_other,unknown,seal,无,4.620555555555556,89.34043321299639,0.2018772563176896,-4.227190622869297,-33.51350180505415,1.0499999999999972,0.4279699718486114,-0.36448137186541363,0.19316039312292704,-0.1619824584585882,-0.9119370178996826,0.28901062926613524,0.11940063262461462,0.8900000000000006,0.3732087177666532,0.7484461612252189,2.420511708466068,3.6330843701707085,7.637622999592763,-0.986633054209506,0.9984748575037515,0.9930148925129824,-0.8954845967130446,0.0,0.4007220216606498,0.0,,,,,,,,,,,,,,,,,,,,
2026-03-02 161335_seal_unheated,Serial Data Log,current_static_seal,ext_high_hum_no_heat,seal,无,17.473333333333333,80.90816015252622,-0.6948999046711154,-4.2121693117821835,-24.139933269780748,-2.8699999999999974,-1.1368899309341955,-0.30387473870645554,-0.1423855639090564,-0.045348496730809075,-4.453225531235083,0.8134095038750092,0.7847189688056384,2.7560000000000002,2.2591947573250204,0.879055971050013,1.0365615414051206,3.5283580857213708,5.674930399621921,0.610467169278963,0.9916551734438591,-0.9318242664403898,0.8370074289597724,0.0019065776930409914,0.0,0.0,1.0,0.0,0.0,-0.3807572998754125,-0.023548129555960706,-0.14786611609621578,-0.04143178294573743,0.0,0.5558782329087406,0.0,0.0,0.0,1.0,0.0,0.0,0.9579009734631695,0.0,0.41766653523253455,-0.6796397671673594,0.0
2026-03-06 160246_seal_unheated,Serial Data Log,current_static_seal,ext_high_hum_no_heat,seal,无,42.303333333333335,88.45334777471444,0.3872784560850729,-4.690079421753389,-38.53826703426545,6.020000000000003,2.2647777591630813,0.32888419194442076,0.11234316999522387,0.016538736586311095,-2.473507676087391,1.4699285212365238,0.646338382925979,4.670999999999999,1.9085564526448868,0.8314976200549182,2.2742398719725507,4.0954372359112385,3.826954643927848,-0.9861422574010578,0.9983117281403805,0.9552049799426717,0.9759127066170654,0.0,0.5072863332020481,0.0,1.0,0.0,0.0,1.3186805555555632,0.37242620346709476,-0.005708270713355281,0.3193666666666637,0.8125,2.3227727531471403,0.8125,0.0,0.8125,0.1875,0.0,0.0,0.7246604476789771,1.0,0.3027590808755177,0.864566411015004,0.0
2026-03-23 213435_seal_unheated,Serial Data Log,current_static_seal,unknown,seal,无,19.304444444444446,94.66903364969802,-0.03685073339085451,-3.7439638379875637,-26.672890422778266,2.710000000000008,1.736867309868387,-0.10188926001889431,0.17381408301512738,-0.014495321943102945,-0.8436792815687362,1.0414580006092908,0.17921676257749017,3.0,0.5572200003476837,0.40947765518418455,5.8111640096108905,2.60212125540786,4.707591351584337,0.5131179462908775,0.7169174197885565,0.738260245049402,0.8253575946223305,0.0,0.9896462467644521,0.0,1.0,0.0,0.0,1.5745794584500516,0.0020649141267660384,0.046884318831785746,0.2981666666666598,0.2222222222222222,0.59276612163249,0.2222222222222222,0.0,0.2222222222222222,0.7777777777777778,0.0,0.0,-0.20779659092523012,2.0,0.7289469571758896,-0.7093263799169205,2.0
2026-03-03 181049_unseal_unheated,Serial Data Log,current_static_unseal,ext_high_hum_no_heat,unseal,无,15.206944444444444,88.56181818181818,0.4385432639649507,-3.9811571374704875,-31.052935377875137,2.3400000000000034,0.6159506123075715,-0.33986932930831726,0.0907935507991311,-0.06265016696099389,-3.8953505362475385,0.4691021898685808,0.7629395069599451,1.617999999999995,2.4138072048449883,1.4200072519176672,0.614861578918352,4.988252134690643,5.105713494598265,-0.9954255698810885,0.9988401910202359,0.9895938484614762,0.6982023113085198,0.0,0.36801752464403065,0.0,0.8,0.2,0.0,0.5238006395466925,0.06782239523077394,-0.08389572900001845,0.6150833333333324,0.4,0.7056054840551366,0.5,0.0,0.4,0.4,0.0,0.2,-0.5472368127867813,5.0,0.17701507095625685,0.9855582530539032,0.0
2026-03-04 163909_unseal_unheated,Serial Data Log,current_static_unseal,unknown,unseal,无,40.776944444444446,92.97087045361666,-0.01140988966080916,-4.18294670580748,-34.45478545157334,3.6500000000000057,1.5991044068213256,0.14874522888313102,0.07952363790591879,0.00907040629602836,0.2905958998448588,0.9469362945845181,0.10511029666210775,2.969999999999999,0.33822114195541264,0.4315052919935063,9.008977470861696,3.8545359607337635,2.764675860244419,-0.951725392071081,0.9429094643511673,0.9960588925278029,0.9726189015328085,0.0,0.9995913363302003,0.0,1.0,0.0,0.0,0.6327276385020184,0.14838831771087868,0.010402986898234148,0.13666666666667027,0.7741935483870968,1.3487700519457022,0.7741935483870968,0.0,0.7741935483870968,0.22580645161290322,0.0,0.0,0.9611906964733717,1.0,0.4826478918834303,0.9070084542008683,0.0
2026-03-22 150919_unseal_unheated,Serial Data Log,current_static_unseal,unknown,unseal,无,26.440555555555555,94.85357277882798,-0.04533711405166999,-4.2777347577679485,-30.44243856332703,1.269999999999996,0.6536850305411548,0.0783985662827904,0.04916563658805435,0.003619459220984591,-0.12374265291473385,0.37679252824237447,0.05926435078366777,1.1670000000000016,0.17193246724396083,0.19134769539418528,6.357827652879848,3.370555159159259,2.087977869975,-0.7167966904341214,0.7872608208567092,0.9711723284637848,0.9057929978875549,0.0,1.0,0.0,1.0,0.0,0.0,0.3274027777777775,0.09381572998462362,0.009086824607691921,0.059499999999999886,0.8125,0.4684317110519543,0.8125,0.0,0.8125,0.1875,0.0,0.0,0.9858376575271109,1.0,0.5419414824987419,-0.28176945855750396,6.0
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,Serial Data Log,current_transition,transition_run,unseal,无,45.323055555555555,92.5968409425626,0.010342415316642128,-4.188053471574718,-34.35921207658321,4.909999999999997,1.993519882179676,0.14840026940992423,0.09040531056397628,0.0069100611547519945,-0.4686239009010391,1.2126827222570398,0.12140964777134729,3.8500000000000014,0.3451675609152387,0.4429218718615422,9.988355493303995,4.048874375699462,3.8598571818905687,-0.9641504768901604,0.9454676270060133,0.9715118428113366,0.8445931425884149,0.0,0.9385125184094256,0.0,1.0,0.0,0.0,0.8194238651748508,0.145837843363433,0.009821850564472228,0.41226436781609266,0.7428571428571429,,,1.0,0.0,0.0,0.0,0.0,0.6706088393955838,2.0,0.4100999690990388,0.9584856215667791,4.0
2026-03-08 172014_seal_unheated,Serial Data Log,current_transition,transition_run,seal,无,112.62916666666666,95.30633857100504,0.2551037651941892,-4.4891864666245835,-39.84255410613697,8.309999999999995,5.006388971242217,0.24736304733624603,0.08361688701759666,0.003903607007767826,0.44145964106599767,2.7554684838063745,0.42740104444327637,7.579999999999998,1.1835188410779116,0.4567788869445435,6.44703263979055,3.0158211022325503,1.032893220092697,0.8777741392553944,0.9319778074059262,0.9457580729261116,0.9714327318353705,0.0,1.0,0.0,1.0,0.0,0.0,0.7757388888888904,0.10641252482593819,0.029167738094038078,0.4278666666666693,0.6274509803921569,,,1.0,0.0,0.0,0.0,0.0,0.9041764426146457,1.0,0.6235567215945915,0.35260177950143207,0.0
