run_id,file,file_path,condition_family_manual,heat_state_manual,ext_humidity_regime_manual,final_status,risk_level,primary_evidence,primary_segment_id,needs_review,review_status,review_priority,event_start,event_end,peak_time,event_duration_h,peak_transition_phase,peak_smooth_score_v3,peak_rank_pct_v3,event_window_count,fused_no_heat_status_v2,fused_no_heat_rationale_v2,score_2h,score_6h,score_12h,hits_2h,hits_6h,hits_12h,fused_cooling_status_v2,fused_cooling_rationale_v2,count_2h,count_6h,count_12h,q75_12h,ext_high_hum_v2_context,probe_status_v3,probe_rationale_v3,onset_positive_v3,late_persistence_v3,breathing_bias_v3,early_respond_in_h_pos_ratio,early_rh_gain_per_out,late_respond_in_h_pos_ratio,late_rh_gain_per_out,late_ah_decay_per_headroom,no_heat_probe_v3_context,notes,reviewer,review_label,review_note
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,zip:///Users/xpker/seal_detection_project/data/data_2026-03-24.zip#2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated.xlsx,transition_run,off,high,transition_boost_alert,high,transition_branch+multiview,S001,True,pending,P0_transition,2026-03-04 12:00:00,2026-03-05 08:00:00,2026-03-04 12:00:00,20.0,near_transition,4.61198887188403,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"transition boost features=delta_in_hum,delta_half_in_hum,max_hourly_hum_rise,std_out_hum,corr_AH | transition evidence passed | transition_boost_count=5",,,
2026-03-08 172014_seal_unheated,2026-03-08 172014_seal_unheated,zip:///Users/xpker/seal_detection_project/data/data_2026-03-24.zip#2026-03-08 172014_seal_unheated.xlsx,transition_run,off,high,transition_boost_alert,high,transition_branch+multiview,S002,True,pending,P0_transition,2026-03-09 23:00:00,2026-03-11 19:00:00,2026-03-10 08:00:00,44.0,near_transition,2.686615271889215,1.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"transition boost features=delta_in_hum,delta_half_in_hum,max_hourly_hum_rise,corr_AH | transition evidence passed | transition_boost_count=4",,,
2026-03-03 181049_unseal_unheated,2026-03-03 181049_unseal_unheated,zip:///Users/xpker/seal_detection_project/data/data_2026-03-24.zip#2026-03-03 181049_unseal_unheated.xlsx,ext_high_hum_no_heat,off,high,static_dynamic_supported_alert,high,multiview_support+no_heat_probe,S002,True,pending,P1_static_alert,,,,,,,,,ext_high_hum_no_heat_multiscale_supported,main_scale_stronger_than_long_scale | short_window_confirms_local_response,0.37096991771212734,0.5058680696074465,0.37096991771212734,6.0,6.0,5.0,,,,,,,no_heat=ext_high_hum_no_heat_multiscale_supported | main_scale_stronger_than_long_scale | short_window_confirms_local_response,ext_high_hum_no_heat_probe_supported,early_response_present_without_persistent_breathing_pattern,True,False,False,1.0,0.18072473526351213,1.0,0.4001453716800097,-0.013172262836886378,ext_high_hum_no_heat_probe_supported | early_response_present_without_persistent_breathing_pattern,threshold_pred=0 | similarity_pred=0 | dynamic_vote_count=4 | hard_case_ratio=0.863 | multiview support recovers static miss | no_heat_probe_v3=ext_high_hum_no_heat_probe_supported | no_heat probe corroborates multiview-supported static alert,,,
2026-03-04 163909_unseal_unheated,2026-03-04 163909_unseal_unheated,zip:///Users/xpker/seal_detection_project/data/data_2026-03-24.zip#2026-03-04 163909_unseal_unheated.xlsx,unknown,off,unknown,static_dynamic_supported_alert,high,threshold+similarity+multiview,S001,True,pending,P1_static_alert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,threshold_pred=1 | similarity_pred=1 | dynamic_vote_count=5 | hard_case_ratio=1.091 | dynamic support agrees with static alert,,,
2026-03-22 150919_unseal_unheated,2026-03-22 150919_unseal_unheated,zip:///Users/xpker/seal_detection_project/data/data_2026-03-24.zip#2026-03-22 150919_unseal_unheated.xlsx,unknown,off,unknown,static_dynamic_supported_alert,high,threshold+similarity+multiview,S002,True,pending,P1_static_alert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,threshold_pred=1 | similarity_pred=1 | dynamic_vote_count=5 | hard_case_ratio=1.745 | dynamic support agrees with static alert,,,
2026-03-06 160246_seal_unheated,2026-03-06 160246_seal_unheated,zip:///Users/xpker/seal_detection_project/data/data_2026-03-24.zip#2026-03-06 160246_seal_unheated.xlsx,ext_high_hum_no_heat,off,high,static_hard_case_watch,watch,hard_case_multiview,S001,True,pending,P2_hard_case_watch,,,,,,,,,ext_high_hum_no_heat_multiscale_breathing_watch,long_scale_not_weaker_than_main | short_scale_more_spiky_than_main,0.40379513655220484,0.26493597343125486,0.4640898207421993,5.0,5.0,5.0,,,,,,,no_heat=ext_high_hum_no_heat_multiscale_breathing_watch | long_scale_not_weaker_than_main | short_scale_more_spiky_than_main,ext_high_hum_no_heat_probe_breathing_watch,late_persistence_with_low_ah_decay,True,True,True,1.0,0.13801840336191662,1.0,0.4994989287441959,-0.0030122322041058118,ext_high_hum_no_heat_probe_breathing_watch | late_persistence_with_low_ah_decay,threshold_pred=0 | similarity_pred=1 | dynamic_vote_count=5 | hard_case_ratio=0.547 | hard case watch overrides static alerting | no_heat_probe_v3=ext_high_hum_no_heat_probe_breathing_watch,,,
2026-03-02 105925,2026-03-02 105925,zip:///Users/xpker/seal_detection_project/data/data_2026-03-24.zip#2026-03-02 105925.xlsx,unknown,mixed,unknown,gated_background,abstain,gate_only,,False,not_required,P3_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no routed evidence branch,,,
2026-03-02 161335_seal_unheated,2026-03-02 161335_seal_unheated,zip:///Users/xpker/seal_detection_project/data/data_2026-03-24.zip#2026-03-02 161335_seal_unheated.xlsx,ext_high_hum_no_heat,off,high,static_abstain_low_signal,abstain,similarity_branch,S001,False,not_required,P3_other,,,,,,,,,ext_high_hum_no_heat_multiscale_negative,main_and_long_low_signal,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,no_heat=ext_high_hum_no_heat_multiscale_negative | main_and_long_low_signal,ext_high_hum_no_heat_probe_negative,early_response_absent,False,False,False,0.0,-0.1836561584484994,0.0,-0.1697163318373807,-0.025054686385121698,ext_high_hum_no_heat_probe_negative | early_response_absent,threshold branch abstained | similarity_pred=0 | dynamic_vote_count=1 | hard_case_ratio=1.164 | no_heat_probe_v3=ext_high_hum_no_heat_probe_negative,,,
2026-03-03 101220_seal_heated,2026-03-03 101220_seal_heated,zip:///Users/xpker/seal_detection_project/data/data_2026-03-24.zip#2026-03-03 101220_seal_heated.xlsx,ext_high_hum_with_heat,on,high,gated_background,abstain,gate_only,,False,not_required,P3_other,,,,,,,,,,,,,,,,,ext_high_hum_cooling_multiscale_no_segment,main_and_long_no_cooling_segment,0.0,0.0,0.0,,cooling=ext_high_hum_cooling_multiscale_no_segment | main_and_long_no_cooling_segment,,,,,,,,,,,,no routed evidence branch,,,
2026-03-04 120007_seal_unheated,2026-03-04 120007_seal_unheated,zip:///Users/xpker/seal_detection_project/data/data_2026-03-24.zip#2026-03-04 120007_seal_unheated.xlsx,unknown,off,unknown,gated_background,abstain,gate_only,,False,not_required,P3_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no routed evidence branch,,,
2026-03-13 080032_unseal_heated,2026-03-13 080032_unseal_heated,zip:///Users/xpker/seal_detection_project/data/data_2026-03-24.zip#2026-03-13 080032_unseal_heated.xlsx,ext_high_hum_with_heat,on,high,gated_heat_related,abstain,gate_only,,False,not_required,P3_other,,,,,,,,,,,,,,,,,ext_high_hum_cooling_multiscale_no_segment,main_and_long_no_cooling_segment,0.0,0.0,0.0,,cooling=ext_high_hum_cooling_multiscale_no_segment | main_and_long_no_cooling_segment,,,,,,,,,,,,heat-related windows dominate,,,
2026-03-14 174006_unseal_heated,2026-03-14 174006_unseal_heated,zip:///Users/xpker/seal_detection_project/data/data_2026-03-24.zip#2026-03-14 174006_unseal_heated.xlsx,ext_high_hum_with_heat,on,high,gated_heat_related,abstain,gate_only,,False,not_required,P3_other,,,,,,,,,,,,,,,,,ext_high_hum_cooling_multiscale_long_confirmed_candidate,main_segment_exists | long_window_confirms_cumulative_dAH | short_window_has_local_positive_dAH,9.0,23.0,18.0,0.24756131017628408,cooling=ext_high_hum_cooling_multiscale_long_confirmed_candidate | main_segment_exists | long_window_confirms_cumulative_dAH | short_window_has_local_positive_dAH,,,,,,,,,,,,heat-related windows dominate,,,
2026-03-17 180258_seal_heated,2026-03-17 180258_seal_heated,zip:///Users/xpker/seal_detection_project/data/data_2026-03-24.zip#2026-03-17 180258_seal_heated.xlsx,unknown,on,unknown,gated_heat_related,abstain,gate_only,,False,not_required,P3_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heat-related windows dominate,,,
2026-03-21 170450_unseal_heated,2026-03-21 170450_unseal_heated,zip:///Users/xpker/seal_detection_project/data/data_2026-03-24.zip#2026-03-21 170450_unseal_heated.xlsx,unknown,on,unknown,gated_background,abstain,gate_only,,False,not_required,P3_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no routed evidence branch,,,
2026-03-23 212849_seal_unheated,2026-03-23 212849_seal_unheated,zip:///Users/xpker/seal_detection_project/data/data_2026-03-24.zip#2026-03-23 212849_seal_unheated.xlsx,unknown,mixed,unknown,gated_background,abstain,gate_only,,False,not_required,P3_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no routed evidence branch,,,
2026-03-23 213435_seal_unheated,2026-03-23 213435_seal_unheated,zip:///Users/xpker/seal_detection_project/data/data_2026-03-24.zip#2026-03-23 213435_seal_unheated.xlsx,unknown,off,unknown,static_low_risk,low,threshold+similarity,S003,False,not_required,P3_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,threshold_pred=0 | similarity_pred=0 | dynamic_vote_count=1 | hard_case_ratio=0.939,,,
