run_id,run_support_status_v1,run_support_risk_v1,primary_segment_id_v1,primary_segment_name_v1,primary_task_v1,support_reason_v1,needs_review_v1,review_segment_count_v1,segment_status_counts_v1
120165518_20260308-104441_sealed_extEq_intEq_noHeat_noChange_na,control_challenge_support,none,120165518_20260308-104441_sealed_extEq_intEq_noHeat_noChange_na::full,full,control_challenge,segment belongs to the control/challenge pool and is used to constrain false positives,False,0,"{""control_challenge_support"": 1}"
120165520_20260315-140001_unsealed_extEq_intEq_noHeat_noChange_na,control_challenge_support,none,120165520_20260315-140001_unsealed_extEq_intEq_noHeat_noChange_na::full,full,control_challenge,segment belongs to the control/challenge pool and is used to constrain false positives,False,0,"{""control_challenge_support"": 1}"
120165520_20260318-000055_sealed_extEq_intEq_noHeat_Change_20260318-0903_Heat,control_challenge_support,none,120165520_20260318-000055_sealed_extEq_intEq_noHeat_Change_20260318-0903_Heat::post_change,post_change,control_challenge,segment belongs to the control/challenge pool and is used to constrain false positives,False,0,"{""control_challenge_support"": 1, ""short_context_only"": 1}"
120165520_20260324_080048_sealed_extEq_intEq_Heat_Change_20260324-2207_noHeat,control_challenge_support,none,120165520_20260324_080048_sealed_extEq_intEq_Heat_Change_20260324-2207_noHeat::pre_change,pre_change,control_challenge,segment belongs to the control/challenge pool and is used to constrain false positives,False,0,"{""control_challenge_support"": 2}"
120165524_20260313-080032_unsealed_extHigh_intLow_noHeat_Change_20260313-1001_Heat,control_challenge_support,none,120165524_20260313-080032_unsealed_extHigh_intLow_noHeat_Change_20260313-1001_Heat::post_change,post_change,control_challenge,segment belongs to the control/challenge pool and is used to constrain false positives,False,0,"{""control_challenge_support"": 1, ""short_context_only"": 1}"
120165524_20260314-174006_unsealed_extHigh_intLow_Heat_noChange_na,control_challenge_support,none,120165524_20260314-174006_unsealed_extHigh_intLow_Heat_noChange_na::full,full,control_challenge,segment belongs to the control/challenge pool and is used to constrain false positives,False,0,"{""control_challenge_support"": 1}"
120165524_20260317-180258_seal_heated_extHigh_intLow_noHeat_Change_20260317-1830_Heat,control_challenge_support,none,120165524_20260317-180258_seal_heated_extHigh_intLow_noHeat_Change_20260317-1830_Heat::post_change,post_change,control_challenge,segment belongs to the control/challenge pool and is used to constrain false positives,False,0,"{""control_challenge_support"": 1, ""short_context_only"": 1}"
120165520_20260323-120048_unseal_extEq_intLow_Heat_Change_20260323-1545_extHigh,short_context_only,none,120165520_20260323-120048_unseal_extEq_intLow_Heat_Change_20260323-1545_extHigh::post_change,post_change,short_context_only,segment is too short for analyzable segment-level use and only keeps local context,False,0,"{""short_context_only"": 2}"
120165524_20260303-101220_sealed_extHigh_intLow_Heat_noChange_na,short_context_only,none,120165524_20260303-101220_sealed_extHigh_intLow_Heat_noChange_na::full,full,short_context_only,segment is too short for analyzable segment-level use and only keeps local context,False,0,"{""short_context_only"": 1}"
120165524_20260302 161335_sealed_extHigh_intLow_noHeat_noChange_na,static_negative_reference_support,none,120165524_20260302 161335_sealed_extHigh_intLow_noHeat_noChange_na::full,full,static_mainfield_primary,segment is a clean static negative reference in the main battlefield,False,0,"{""static_negative_reference_support"": 1}"
120165524_20260303-181049_unsealed_extHigh_intLow_noHeat_noChange_na,static_review_weak_positive,watch,120165524_20260303-181049_unsealed_extHigh_intLow_noHeat_noChange_na::full,full,static_eval_only,segment carries positive label but static evidence remains weak and should be reviewed instead of promoted,True,1,"{""static_review_weak_positive"": 1}"
120165524_20260306-160246_sealed_extHigh_intLow_noHeat_noChange_na,static_watch_breathing,watch,120165524_20260306-160246_sealed_extHigh_intLow_noHeat_noChange_na::full,full,control_challenge,segment looks positive-like to the raw static baseline but remains a sealed breathing hard case,True,1,"{""static_watch_breathing"": 1}"
120165524_20260321-170450_unseal_extHigh_intLow_Heat_Change_20260321-1800_noHeat,static_watch_confound,watch,120165524_20260321-170450_unseal_extHigh_intLow_Heat_Change_20260321-1800_noHeat::post_change,post_change,control_challenge,segment enters the battlefield after heat-off and should not be treated as a clean static positive,True,1,"{""short_context_only"": 1, ""static_watch_confound"": 1}"
120165524_20260304-120007_sealed_extHigh_intLow_noHeat_Change_20260304-1639_unsealed,transition_primary_support,high,120165524_20260304-120007_sealed_extHigh_intLow_noHeat_Change_20260304-1639_unsealed::post_change,post_change,static_mainfield_primary,run contains a mainfield seal-to-unsealed transition and should stay transition-led,True,1,"{""static_positive_reference_support"": 1, ""transition_primary_support"": 1}"
120165524_20260308-172014_sealed_extHigh_intLow_noHeat_Change_20260310-1000_unsealed,transition_primary_support,high,120165524_20260308-172014_sealed_extHigh_intLow_noHeat_Change_20260310-1000_unsealed::post_change,post_change,static_mainfield_primary,run contains a mainfield seal-to-unsealed transition and should stay transition-led,True,0,"{""static_negative_reference_support"": 1, ""static_positive_reference_support"": 1}"
120165524_20260323-213435_seal_extHigh_intLow_noHeat_Change_20260324-9000_unseal,transition_primary_support,high,120165524_20260323-213435_seal_extHigh_intLow_noHeat_Change_20260324-9000_unseal::post_change,post_change,static_mainfield_primary,run contains a mainfield seal-to-unsealed transition and should stay transition-led,True,1,"{""static_positive_reference_support"": 1, ""transition_primary_support"": 1}"
120165519_20260309-102255_sealed_extLow_intHigh_noHeat_Change_20260310-1000_unsealed,transition_secondary_control,watch,120165519_20260309-102255_sealed_extLow_intHigh_noHeat_Change_20260310-1000_unsealed::post_change,post_change,transition_context,segment belongs to a seal-change run outside the main battlefield and should stay as a transition challenge,True,2,"{""transition_secondary_control"": 2}"
120165519_20260313-111811_sealed_extLow_intHigh_Heat_Change_20260315-1500_unsealed,transition_secondary_control,watch,120165519_20260313-111811_sealed_extLow_intHigh_Heat_Change_20260315-1500_unsealed::post_change,post_change,transition_context,segment belongs to a seal-change run outside the main battlefield and should stay as a transition challenge,True,2,"{""transition_secondary_control"": 2}"
120165520_20260310-170038_sealed_extEq_intEq_Heat_Change_20260313-1002_unsealed,transition_secondary_control,watch,120165520_20260310-170038_sealed_extEq_intEq_Heat_Change_20260313-1002_unsealed::post_change,post_change,transition_context,segment belongs to a seal-change run outside the main battlefield and should stay as a transition challenge,True,2,"{""transition_secondary_control"": 2}"
120165520_20260318-090358_sealed_extEq_intEq_Heat_Change_20260319-1520_unsealed,transition_secondary_control,watch,120165520_20260318-090358_sealed_extEq_intEq_Heat_Change_20260319-1520_unsealed::post_change,post_change,transition_context,segment belongs to a seal-change run outside the main battlefield and should stay as a transition challenge,True,2,"{""transition_secondary_control"": 2}"
